system,surface,frame,state,State,Reason,Final_Bond_Order,Final_Si_Idx,Final_Intramol_Dist,Final_Intramol_HBond_Count,Final_Anchoring_Dist,Final_NH2_SurfaceO_Dist,Final_RiboseOH_SurfaceSilanol_Dist,Final_PhosphateO_SurfaceO_Dist,Final_PhosphateO_SurfaceSi_Dist,Final_PO_Siloxane_COM_Dist,out_file,xyz_file
ump,aluminium,frame14,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.104231062829089,0,2.460071070982959,inf,2.6434783613517405,2.460071070982959,3.712946502748083,10.903715026914151,ump_al_frame14_dry.out,ump_al_frame14_dry_trj.xyz
ump,aluminium,frame15,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,6.294947780731953,0,2.481850030808241,inf,2.640442586359272,2.481850030808241,4.312576230958488,6.371109744228794,ump_al_frame15.out,ump_al_frame15_trj.xyz
ump,aluminium,frame15,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.896 exceeds 0.50,0.8964,0.0,6.40200628796801,0,2.343666512672454,inf,2.633409726445861,2.343666512672454,1.7873658405088517,7.661055979237204,ump_al_frame15_dry.out,ump_al_frame15_dry_trj.xyz
amp_protonated,canonical,frame02,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.717705138461043,0,2.9146094976878882,3.219801056559308,2.9146094976878882,3.6506242070483124,4.146340674415545,4.265719578637164,amp_prot02.out,amp_prot02_trj.xyz
amp_protonated,canonical,frame02,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.885 exceeds 0.50,0.8848,43.0,4.779514724518805,0,2.399677740806518,2.9188219203379853,2.9986505955926144,2.399677740806518,1.7670575698780882,3.821338720106138,amp_prot02_dry.out,amp_prot02_dry_trj.xyz
amp_protonated,canonical,frame10,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.771133142929838,0,3.052140934018102,3.2541563934605504,3.219835731429422,3.052140934018102,3.8509303158761354,7.301540814434214,amp_prot10.out,amp_prot10_trj.xyz
amp_protonated,canonical,frame10,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.770841028298838,0,2.944681964731129,3.1290897450346713,3.376577820144998,2.944681964731129,3.1278267576895344,7.361499690590756,amp_prot10_dry.out,amp_prot10_dry_trj.xyz
amp_protonated,aluminium,frame12,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.715878079681605,0,2.735167365304588,3.1345718156472477,2.735167365304588,3.6085922997134268,4.4003823888520905,8.755363455851754,amp_al_frame12.out,amp_al_prot_frame12_trj.xyz
amp_protonated,aluminium,frame12,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.716156794149144,0,2.4072342139848115,2.9128779903112747,3.8543050549322264,2.4072342139848115,3.9241958485392985,11.056906825005413,amp_al_frame12_dry.out,amp_al_prot_frame12_dry_trj.xyz
amp_protonated,aluminium,frame14,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.32112605873924,0,2.8040300956748196,3.1461361990153347,4.519616225169852,2.8040300956748196,3.8454189445639515,11.485880417229318,amp_al_frame14.out,amp_al_prot_frame14_trj.xyz
amp_protonated,aluminium,frame14,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,3.3141459991116164,0,2.6076878819658913,2.8571427642190708,3.367020429735982,2.6076878819658913,3.4230583713516474,12.296143248168788,amp_al_frame14_dry.out,amp_al_frame14_dry_trj.xyz
amp_protonated,aluminium,frame14,dry_first_accident,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.583 exceeds 0.50,0.5828,8.0,4.45018638196918,0,2.342721101518587,2.823715780104084,4.269270342543059,2.342721101518587,2.01000279474025,7.997823696160736,amp_al_frame14.out,amp_al_frame14_trj.xyz
amp_protonated,aluminium,frame16,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.704144236467904,0,3.258302688503449,3.258302688503449,3.727667606745476,3.603827895735856,4.192244616065973,5.90597094674945,amp_al_frame16.out,amp_al_frame16_trj.xyz
cmp_protonated,canonical,frame09,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.724657674664138,0,2.938221955730186,3.216819073192767,3.324810339026228,2.938221955730186,3.6872631364494888,6.671784441698182,cmp_prot09.out,cmp_prot09_trj.xyz
cmp_protonated,canonical,frame09,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.852 exceeds 0.50,0.8518,45.0,4.302432110514773,0,2.3920621056192233,3.0501127055008674,3.2470055967726354,2.3920621056192233,1.8084931651134568,6.007583653339158,cmp_prot09_dry.out,cmp_prot09_dry_trj.xyz
cmp_protonated,canonical,frame11,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.710033129522091,0,2.918495091491472,3.2454489291116726,3.4726597053173887,2.918495091491472,3.783155832437419,7.991926313737459,cmp_prot11.out,cmp_prot11_trj.xyz
cmp_protonated,canonical,frame11,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.901 exceeds 0.50,0.9009,44.0,4.792438057858871,0,2.3978997670346494,2.8539778994817526,3.3477698408772136,2.3978997670346494,1.7800863445018502,6.483059072798621,cmp_prot11_dry.out,cmp_prot11_dry_trj.xyz
cmp_protonated,aluminium,frame02,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.6835209682080166,0,2.906195425155281,3.2077723451002234,3.5918476610567946,2.906195425155281,3.5534755066877435,8.064249935093159,cmp_prot_al_frame02.out,cmp_prot_al_frame02_trj.xyz
cmp_protonated,aluminium,frame02,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.675417451756483,0,2.9545782276282,2.9545782276282,3.0841369844137874,3.10258771041506,3.590494459046806,8.812728703659696,cmp_prot_al_frame02_dry.out,cmp_prot_al_frame02_dry_trj.xyz
cmp_protonated,aluminium,frame03,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.714137250189761,0,2.937452185764692,3.141693318491551,3.5228931970479027,2.937452185764692,3.768529702516469,5.283580058636246,cmp_prot_al_frame03.out,cmp_prot_al_frame03_trj.xyz
cmp_protonated,aluminium,frame03,dry,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.771809643893183,0,3.0320714658477588,3.0320714658477588,3.334736647900921,3.1387438617891004,3.670324419407661,4.620451418879457,cmp_prot_al_frame03_dry.out,cmp_prot_al_frame03_dry_trj.xyz
amp_dimer,canonical,frame13,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,5.096609860259542,0,2.502561811056266,3.165805959195745,3.1956552621608623,2.502561811056266,3.901375045772515,6.387095632633759,amp_dimer_frame13.out,amp_dimer_frame13_trj.xyz
amp_dimer,canonical,frame15,solvated,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,5.1099090206116635,0,2.4946231731064077,3.2979253598869174,4.35552111918576,2.4946231731064077,4.235856312230229,4.831554096026184,amp_dimer_frame15.out,amp_dimer_frame15_trj.xyz
amp_dimer,canonical,,supporting,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,5.0574124437252115,0,2.505171143080332,3.189206538187839,2.9710793053186237,2.505171143080332,3.6045819612795316,7.6736933001355805,amp_dimer_gfn_frame03.out,amp_dimer_gfn_frame03_trj.xyz
amp_dimer,canonical,,supporting,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.934 exceeds 0.50,0.9337,69.0,5.0574124437252115,0,2.505171143080332,3.189206538187839,2.9710793053186237,2.505171143080332,3.6045819612795316,7.6736933001355805,amp_dimer_gfn_frame03_dry.out,amp_dimer_gfn_frame03_trj.xyz
amp_dimer,canonical,,supporting,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,5.0574124437252115,0,2.505171143080332,3.189206538187839,2.9710793053186237,2.505171143080332,3.6045819612795316,7.6736933001355805,amp_dimer_gfn_frame04.out,amp_dimer_gfn_frame03_trj.xyz
amp_dimer,canonical,,supporting,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.816 exceeds 0.50,0.8164,44.0,5.0574124437252115,0,2.505171143080332,3.189206538187839,2.9710793053186237,2.505171143080332,3.6045819612795316,7.6736933001355805,amp_dimer_gfn_frame04_dry.out,amp_dimer_gfn_frame03_trj.xyz
amp_dimer,canonical,,supporting,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,5.0574124437252115,0,2.505171143080332,3.189206538187839,2.9710793053186237,2.505171143080332,3.6045819612795316,7.6736933001355805,amp_dimer_geom.out,amp_dimer_gfn_frame03_trj.xyz
